skus_mktplc,lojista_mktplc
11653744,31143
11653744,31185
11653744,31186
11653744,31189
11653744,31162
11653744,31157
11653744,31175
11653744,31149
11653744,31170
11653744,31168
11653744,31173
11653744,31181
11653744,31148
11653752,31162
11653752,31173
11653752,31149
11653752,31181
11653752,31157
11653752,31151
11653752,31143
11653752,31170
11653752,31159
11653752,31188
11653752,31148
11653752,31185
11653752,31172
11653752,31177
11653752,31175
11653752,31168
11653752,31189
11653752,31186
11653752,31160
11653756,31143
11653756,31148
11653756,31185
11653756,31173
11653756,31189
11653756,31160
11653756,31172
11653756,31159
11653756,31188
11653756,31181
11653756,31177
11653756,31170
11653756,31168
11653756,31175
11653756,31157
11653756,31186
11653756,31162
11653760,31157
11653760,31186
11653760,31151
11653760,31173
11653760,31175
11653760,31177
11653760,31189
11653760,31188
11653760,31148
11653760,31172
11653760,31143
11653760,31160
11653760,31162
11653760,31170
11653760,31185
11653760,31149
11653760,31159
11653760,31168
11653760,31181
11653904,31162
11653904,31181
11653904,31186
11653904,31175
11653904,31172
11653904,31170
11653904,31159
11653904,31168
11653904,31188
11653904,31189
11653904,31143
11653904,31160
11653904,31149
11653904,31157
11653904,31185
11653904,31148
11653904,31177
11653904,31173
11653935,31172
11653935,31149
11653935,31160
11653935,31173
11653935,31185
11653935,31170
11653935,31162
11653935,31168
11653935,31143
11653935,31189
11653935,31186
11653935,31159
11653935,31148
11653935,31151
11653935,31188
11653935,31177
11653935,31157
11653935,31181
11653935,31175
11653938,31175
11653938,31162
11653938,31185
11653938,31172
11653938,31159
11653938,31188
11653938,31186
11653938,31173
11653938,31170
11653938,31149
11653938,31177
11653938,31168
11653938,31157
11653938,31160
11653938,31189
11653938,31148
11653938,31181
11653939,31149
11653939,31170
11653939,31177
11653939,31181
11653939,31172
11653939,31157
11653939,31175
11653939,31185
11653939,31159
11653939,31160
11653939,31189
11653939,31188
11653939,31143
11653939,31162
11653939,31186
11653941,31177
11653941,31185
11653941,31172
11653941,31175
11653941,31151
11653941,31157
11653941,31149
11653941,31168
11653941,31189
11653941,31143
11653941,31162
11653941,31159
11653941,31186
11653941,31188
11653941,31181
11653941,31148
11653941,31170
11653941,31173
11653941,31160
11653942,31188
11653942,31168
11653942,31172
11653942,31173
11653942,31159
11653942,31148
11653942,31160
11653942,31181
11653942,31189
11653942,31185
11653942,31175
11653942,31177
11653942,31186
11653942,31162
11653942,31157
11681243,31173
11681243,31148
11681243,31181
11681243,31175
11681243,31185
11681243,31157
11681243,31160
11681243,31168
11681243,31172
11681243,31189
11681243,31162
11681243,31149
11681243,31159
11681243,31151
11681243,31186
11681243,31143
11681243,31170
11681243,31177
11681243,31188
11688910,31173
11688910,31186
11688910,31189
11688910,31177
11688910,31151
11688910,31162
11688910,31181
11688910,31143
11688910,31159
11688910,31170
11688910,31148
11688910,31160
11688910,31175
11688910,31185
11688910,31149
11688910,31172
11688910,31157
11688910,31168
11688910,31188
11693635,31168
11693635,31189
11693635,31172
11693635,31181
11693635,31159
11693635,31177
11693635,31148
11693635,31188
11693635,31186
11693635,31160
11693635,31173
11693635,31175
11693635,31151
11693635,31157
11693635,31162
11693635,31143
11693635,31170
11693635,31149
11693635,31185
11693829,31162
11693829,31149
11693829,31185
11693829,31177
11693829,31181
11693829,31186
11693829,31157
11693829,31175
11693829,31172
11693829,31188
11693829,31170
11693829,31151
11693829,31148
11693829,31143
11693829,31159
11693829,31168
11693829,31173
11693829,31160
11693829,31189
11693844,31189
11693844,31143
11693844,31157
11693844,31160
11693844,31181
11693844,31177
11693844,31188
11693844,31148
11693844,31173
11693844,31175
11693844,31170
11693844,31149
11693844,31162
11693844,31186
11693844,31172
11693844,31185
11693844,31168
11693844,31151
11693844,31159
11695015,31177
11695015,31168
11695015,31172
11695015,31162
11695015,31181
11695015,31151
11695015,31175
11695015,31173
11695015,31186
11695015,31159
11695015,31189
11695015,31160
11695015,31148
11695015,31185
11695015,31149
11695015,31170
11695015,31143
11695015,31188
11695016,31149
11695016,31172
11695016,31162
11695016,31186
11695016,31177
11695016,31143
11695016,31188
11695016,31175
11695016,31189
11695016,31185
11695016,31173
11695016,31157
11695016,31159
11695016,31151
11695016,31160
11695016,31181
11695016,31170
11695016,31168
11695016,31148
11695027,31157
11695027,31151
11695027,31168
11695027,31173
11695027,31172
11695027,31177
11695027,31162
11695027,31160
11695027,31159
11695027,31188
11695027,31170
11695027,31149
11695027,31186
11695027,31148
11695027,31189
11695027,31185
11695027,31143
11710286,31186
11710286,31177
11710286,31173
11710286,31188
11710286,31172
11710286,31185
11710286,31189
11710286,31175
11710286,31181
11710286,31148
11710286,31149
11710286,31159
11710286,31168
11710286,31157
11716615,31188
11716615,31143
11716615,31157
11716615,31160
11716615,31185
11716615,31149
11716615,31177
11716615,31175
11716615,31151
11716615,31159
11716615,31181
11716615,31172
11716615,31170
11716615,31189
11716615,31173
11716615,31148
11716615,31162
11716615,31186
11716615,31168
11717686,31162
11717686,31170
11717686,31172
11717686,31168
11717686,31160
11717686,31149
11717686,31175
11717686,31148
11717686,31185
11717686,31173
11717686,31186
11717686,31151
11717686,31188
11717686,31159
11717686,31143
11717686,31181
11717686,31157
11717686,31177
11717686,31189
11721541,31160
11721541,31185
11721541,31168
11721541,31170
11721541,31157
11721541,31151
11721541,31173
11721541,31188
11721541,31189
11721541,31162
11721541,31159
11721541,31175
11721541,31172
11721541,31143
11721541,31149
11721541,31186
11721541,31181
11721541,31148
11721541,31177
11726820,31157
11726820,31175
11726820,31177
11726820,31170
11726820,31189
11726820,31188
11726820,31162
11726820,31149
11726820,31173
11726820,31151
11726820,31160
11726820,31181
11726820,31143
11726820,31185
11726820,31168
11726820,31172
11726820,31159
11726820,31148
11726833,31143
11726833,31177
11726833,31189
11726833,31172
11726833,31149
11726833,31186
11726833,31173
11726833,31170
11726833,31175
11726833,31148
11726833,31185
11726833,31168
11726833,31151
11726833,31157
11726833,31159
11726833,31160
11726833,31181
11726833,31162
11726833,31188
11727110,31168
11727110,31162
11727110,31159
11727110,31148
11727110,31160
11727110,31172
11727110,31177
11727110,31170
11727110,31181
11727110,31143
11727110,31151
11727110,31173
11727110,31189
11727110,31188
11727110,31185
11727110,31186
11727110,31157
11727110,31175
11727110,31149
11727749,31172
11727749,31157
11727749,31168
11727749,31185
11727749,31143
11727749,31173
11727749,31189
11727749,31148
11727749,31188
11727749,31160
11727749,31186
11727749,31170
11727749,31177
11727749,31181
11727749,31149
11727749,31159
11727749,31175
11732124,31151
11732124,31148
11732124,31189
11732124,31162
11732124,31175
11732124,31143
11732124,31159
11732124,31186
11732124,31172
11732124,31149
11732124,31177
11732124,31170
11732124,31157
11732124,31173
11732124,31160
11732124,31185
11732124,31188
11732124,31181
11732124,31168
11732138,31177
11732138,31173
11732138,31181
11732138,31186
11732138,31175
11732138,31159
11732138,31149
11732138,31148
11732138,31168
11732138,31143
11732138,31157
11732138,31185
11732138,31188
11732138,31170
11732138,31151
11732138,31162
11732138,31189
11732138,31160
11732138,31172
11732144,31189
11732144,31185
11732144,31168
11732144,31143
11732144,31160
11732144,31177
11732144,31149
11732144,31170
11732144,31181
11732144,31173
11732144,31148
11732144,31151
11732144,31162
11732144,31159
11732144,31175
11732144,31172
11732144,31186
11732144,31157
11732144,31188
1502932997,31185
1502932998,31185
1502932999,31185
1502933000,31185
1502933001,31185
1502933002,31185
1502933003,31185
1502933004,31185
1502982988,31185
1502983003,31185
1502983023,31185
1514112253,31143
1544038830,31172
1544038835,31151
1544038856,31185
1544038863,31173
1544038866,31162
1544038878,31175
1544038899,31188
1544040769,31172
1544040770,31175
1544040806,31185
1544058025,31185
1544058026,31175
1544165032,31185
1544165033,31185
1544165034,31185
1544165036,31185
1544165037,31185
1544165039,31185
1544165041,31185
1544165042,31185
1544165044,31185
1544165045,31185
1544165046,31185
1544165047,31185
1544165048,31185
1544165051,31185
1544165053,31185
1544165054,31185
1544165055,31185
1544165057,31185
1544165058,31185
1544165063,31185
1544165066,31185
1544165069,31185
1544165070,31185
1544165074,31185
1544165075,31185
1544165076,31185
1544165077,31185
1544165078,31185
1544165079,31185
1544165081,31185
1544165085,31185
1544165086,31185
1544165087,31185
1544165093,31185
1544165094,31185
1544165098,31185
1544165100,31185
1544165102,31185
1544165103,31185
1544165105,31185
1544165106,31185
1544165107,31185
1544165109,31185
1544165110,31185
1544165111,31185
1544165112,31185
1544165113,31185
1544165114,31185
1544165117,31185
1544165119,31185
1544165123,31185
1544165125,31185
1544165126,31185
1544165127,31185
1544165129,31185
1544165130,31185
1544165132,31185
1544165134,31185
1544165136,31185
1544165137,31185
1544165138,31185
1544165140,31185
1544165141,31185
1544165142,31185
1544165145,31185
1544165146,31185
1544165153,31185
1544165157,31185
1544165158,31185
1544165161,31185
1544165163,31185
1544165166,31185
1544165168,31185
1544165171,31185
1544165172,31185
1544165173,31185
1544165174,31185
1544165175,31185
1544165176,31185
1544165179,31185
1544165180,31185
1544165181,31185
1544165182,31185
1544165183,31185
1544165189,31185
1544165197,31185
1544165199,31185
1544165200,31185
1544165202,31185
1544165203,31185
1544165204,31185
1544165205,31185
1544165207,31185
1544165209,31185
1544165211,31185
1544165214,31185
1544165215,31185
1544165218,31185
1544165219,31185
1544165220,31185
1544165221,31185
1544165222,31185
1544165225,31185
1544165228,31185
1544165229,31185
1544165232,31185
1544165233,31185
1544165234,31185
1544165235,31185
1544165237,31185
1544165241,31185
1544165242,31185
1544165245,31185
1544165247,31185
1544165248,31185
1544165250,31185
1544165253,31185
1544165254,31185
1544165256,31185
1544165257,31185
1544165259,31185
1544165260,31185
1544165263,31185
1544165264,31185
1544165265,31185
1544165266,31185
1544165268,31185
1544165270,31185
1544165271,31185
1544165272,31185
1544165273,31185
1544165276,31185
1544165277,31185
1544165278,31185
1544165282,31185
1544165283,31185
1544165284,31185
1544165285,31185
1544165286,31185
1544165287,31185
1544165288,31185
1544165289,31185
1544165290,31185
1544165292,31185
1544165293,31185
1544165296,31185
1544165297,31185
1544165300,31185
1544165304,31185
1544165305,31185
1544165306,31185
1544165309,31185
1544165310,31185
1544165313,31185
1544165314,31185
1544165315,31185
1544165317,31185
1544165318,31185
1544165320,31185
1544165325,31185
1544165328,31185
1544165329,31185
1544165330,31185
1544165331,31185
1544165332,31185
1544165334,31185
1544165336,31185
1544165340,31185
1544165343,31185
1544165345,31185
1544165348,31185
1544165349,31185
1544165351,31185
1544165353,31185
1544165354,31185
1544165356,31185
1544165360,31185
1544165362,31185
1544165363,31185
1544165366,31185
1544165367,31185
1544165368,31185
1544165369,31185
1544165370,31185
1544165373,31185
1544165374,31185
1544165375,31185
1544165377,31185
1544165378,31185
1544165379,31185
1544165380,31185
1544165382,31185
1544165384,31185
1544165388,31185
1544165389,31185
1544165390,31185
1544165391,31185
1544165395,31185
1544165399,31185
1544165401,31185
1544165403,31185
1544165404,31185
1544165405,31185
1544165406,31185
1544165413,31185
1544165414,31185
1544165415,31185
1544165417,31185
1544165419,31185
1544165421,31185
1544165424,31185
1544165425,31185
1544165427,31185
1544165428,31185
1544165429,31185
1544165430,31185
1544165431,31185
1544165433,31185
1544165434,31185
1544165435,31185
1544165437,31185
1544165439,31185
1544165441,31185
1544165442,31185
1544165443,31185
1544165445,31185
1544165446,31185
1544165447,31185
1544165448,31185
1544165451,31185
1544165453,31185
1544165454,31185
1544165455,31185
1544165456,31185
1544165458,31185
1544165459,31185
1544165460,31185
1544165462,31185
1544165463,31185
1544165465,31185
1544165469,31185
1544165470,31185
1544165473,31185
1544165477,31185
1544165478,31185
1544165479,31185
1544165480,31185
1544165482,31185
1544165483,31185
1544165485,31185
1544165486,31185
1544165487,31185
1544165488,31185
1544165490,31185
1544165495,31185
1544165496,31185
1544165499,31185
1544165500,31185
1544165502,31185
1544165503,31185
1544165504,31185
1544165505,31185
1544165508,31185
1544165509,31185
1544165510,31185
1544165513,31185
1544165514,31185
1544165519,31185
1544165520,31185
1544165521,31185
1544165524,31185
1544165525,31185
1544165527,31185
1544165528,31185
1544165529,31185
1544165530,31185
1544165533,31185
1544165536,31185
1544165543,31172
1544165548,31172
1544165550,31172
1544165552,31172
1544165553,31172
1544165554,31172
1544165558,31185
1544165559,31185
1544165562,31185
1544165563,31185
1544165564,31185
1544165572,31172
1544165573,31172
1544165574,31172
1544165575,31172
1544165576,31172
1544165577,31172
1544165579,31172
1544165580,31172
1544165582,31172
1544165583,31172
1544165584,31172
1544165585,31172
1544165586,31185
1544165587,31185
1544165588,31185
1544165591,31172
1544165595,31172
1544165596,31172
1544165597,31185
1544165599,31185
1544165600,31185
1544165601,31185
1544165603,31185
1544165604,31185
1544165605,31185
1544165608,31185
1544165609,31185
1544165610,31185
1544165613,31185
1544165615,31185
1544165616,31185
1544165617,31185
1544165618,31185
1544165621,31185
1544165622,31185
1544165625,31185
1544165626,31185
1544165628,31185
1544165632,31185
1544165633,31185
1544165635,31185
1544165636,31185
1544165640,31185
1544165641,31185
1544165642,31185
1544165647,31185
1544165648,31185
1544165649,31185
1544165650,31185
1544165651,31185
1544165653,31172
1544165654,31172
1544165656,31172
1544165657,31172
1544165658,31172
1544165659,31172
1544165660,31172
1544165661,31172
1544165664,31172
1544165665,31172
1544165666,31172
1544165667,31172
1544165670,31185
1544165671,31185
1544165672,31185
1544165673,31185
1544165674,31185
1544165675,31185
1544165676,31185
1544165677,31185
1544165678,31185
1544165680,31185
1544165681,31185
1544165684,31185
1544165686,31185
1544165687,31185
1544165688,31185
1544165692,31185
1544165693,31185
1544165695,31185
1544165698,31185
1544165700,31185
1544165701,31185
1544165704,31172
1544165707,31172
1544165710,31172
1544165711,31185
1544165712,31185
1544165713,31185
1544165714,31185
1544165715,31185
1544165716,31185
1544165717,31185
1544165718,31185
1544165719,31185
1544165720,31185
1544165721,31185
1544165722,31185
1544165723,31185
1544165724,31185
1544165726,31185
1544165727,31185
1544165728,31185
1544165729,31185
1544165733,31185
1544165735,31185
1544165737,31185
1544165738,31185
1544165739,31185
1544165741,31185
1544165745,31185
1544165748,31185
1544165749,31185
1544165750,31185
1544165751,31185
1544165752,31185
1544165755,31185
1544165756,31185
1544165757,31185
1544165758,31185
1544165763,31185
1544165766,31185
1544165768,31172
1544165773,31185
1544165774,31185
1544165776,31185
1544165777,31185
1544165779,31172
1544165785,31185
1544165786,31185
1544165789,31185
1544165792,31185
1544165794,31185
1544165795,31185
1544165796,31185
1544165799,31185
1544165800,31185
1544165801,31185
1544165804,31185
1544165806,31185
1544165807,31185
1544165808,31185
1544165813,31185
1544165815,31185
1544165818,31185
1544165819,31185
1544165821,31185
1544165822,31185
1544165824,31185
1544165827,31185
1544165828,31185
1544165830,31185
1544165833,31185
1544165835,31185
1544165837,31185
1544165838,31172
1544165840,31185
1544165841,31185
1544165844,31185
1544165845,31185
1544165846,31185
1544165849,31185
1544165851,31185
1544165852,31185
1544165854,31185
1544165856,31185